category_key,question,answer,keywords
order_new,퀵 요청은 어떻게 보내나요?,"[작성예시 - 실제 양식으로 교체] 출발지(상호·주소·연락처), 도착지/경유지(상호·주소·연락처·수량), 물품, 차량종류, 희망시간을 보내주시면 접수 후 배차 진행하겠습니다.",퀵요청;접수;오더;신청
order_multi,경유지가 여러 곳인데 가능한가요?,"[작성예시] 네, 경유 배송 가능합니다. 경유지별 주소·연락처·수량을 함께 보내주세요.",경유;다중;여러곳;경유배송
order_confirm,경유 순서는 상관없나요?,"[작성예시] 경유 순서 지정이 없으시면 기사님이 효율적인 코스로 진행합니다. 순서 지정이 필요하면 알려주세요.",경유순서;코스;순서;루트
order_time,즉시 배차 가능한가요?,"[작성예시] 차량 상황에 따라 즉시 배차 가능합니다. 출발지·차량종류를 알려주시면 가능 여부를 바로 확인해 안내드리겠습니다.",즉시;바로;지금;시간지정
dispatch_vehicle,다마스로 가능한가요? (차종 문의),"[작성예시] 물품 수량·크기를 알려주시면 다마스/라보/오토/1톤 중 적합한 차량으로 배차해 드리겠습니다.",다마스;라보;오토;1톤;차량;차종
dispatch_progress,배차 얼마나 걸리나요?,"[작성예시] 현재 배차 진행 중입니다. 지역·시간대에 따라 시간이 걸릴 수 있으며 배정되는 즉시 배차정보를 전달드리겠습니다.",배차시간;얼마나;진행;대기
dispatch_redispatch,배차된 기사님이 취소됐다는데요?,"[작성예시] 불편을 드려 죄송합니다. 해당 기사님 사정으로 재배차 진행 중이며, 새 기사 배정되는 대로 즉시 안내드리겠습니다.",재배차;취소;기사이탈;빠짐
fare_inquiry,운임이 얼마인가요?,"[작성예시] 출발지·도착지·경유 수·차량종류·물품에 따라 운임이 산정됩니다. 정보를 주시면 운임을 안내드리겠습니다.",운임;요금;가격;견적;얼마
fare_extra,경유가 추가되면 요금이 오르나요?,"[작성예시] 경유지 추가·대기·심야/주말 등에 따라 추가 운임이 발생할 수 있습니다. 조건을 확인해 안내드리겠습니다.",추가운임;경유추가;할증;대기료
transit_location,기사님 지금 어디쯤인가요?,"[작성예시] 기사님 현재 위치를 확인해 안내드리겠습니다. 잠시만 기다려 주세요.",위치;어디;현황;실시간;기사위치
transit_eta,언제 도착하나요?,"[작성예시] 기사님 진행 상황 확인 후 예상 도착 시간을 안내드리겠습니다. 교통 상황에 따라 변동될 수 있습니다.",도착;예정;언제;eta;지연
change_modify,주소(또는 시간)를 변경하고 싶어요.,"[작성예시] 기사 출발 전에는 변경 가능합니다. 변경할 내용을 알려주시면 반영하겠습니다. 출발 후에는 추가 운임이 발생할 수 있습니다.",변경;수정;주소변경;시간변경
change_cancel,오더를 취소하고 싶어요.,"[작성예시] 배차 전 취소는 무료입니다. 배차/출발 후 취소 시 기사 이동 정도에 따라 취소 운임이 발생할 수 있습니다.",취소;오더취소;환불
driver_contact,기사님 연락처를 알 수 있나요?,"[작성예시] 배차정보에 기사님 성함·연락처·차량번호를 함께 보내드립니다. 추가로 연결이 필요하면 도와드리겠습니다.",기사연락처;전화;연결;번호
settlement_tax,세금계산서를 발행해 주세요.,"[작성예시] 세금계산서 발행 도와드리겠습니다. 사업자 정보와 발행 기간/건을 알려주시면 처리하겠습니다.",세금계산서;계산서;발행;증빙
settlement_history,이번 달 운임 정산내역 주세요.,"[작성예시] 거래처·기간 확인 후 정산 내역을 정리해 보내드리겠습니다.",정산;내역;운임내역;월정산
client_new,거래처로 등록해서 정기로 이용하고 싶어요.,"[작성예시] 정기 거래처 등록 도와드리겠습니다. 사업자 정보와 주요 운송 구간·물량을 알려주시면 단가 안내 후 진행하겠습니다.",거래처;등록;정기;계약문의
claim_delay,배송이 너무 늦었습니다.,"[작성예시] 지연으로 불편을 드려 죄송합니다. 해당 건을 확인하여 원인 파악 후 안내드리겠습니다.",지연;늦음;클레임;보상
claim_damage,물건이 파손/분실됐어요.,"[작성예시] 매우 죄송합니다. 물품 상태(사진)와 배차정보를 보내주시면 즉시 확인 후 처리 절차를 안내드리겠습니다.",파손;분실;훼손;사고
etc_ops,영업시간이 어떻게 되나요?,"[작성예시 - 실제 운영시간으로 교체] 평일 OO:OO~OO:OO 운영합니다. 그 외 시간 접수는 별도 안내드립니다.",영업시간;운영시간;시간
